FECHA_PROCESO	CUENTA_CONTABLE	COD_1	COD_2	COD_4	COD_6	COD_8	COD_11	NOM_CUENTA	FECHA_COMPROBANTE	NUMERO_COMPROBANTE	TIPO_COMPROBANTE	NOMBRE_COMPROBANTE	DEBITO	CREDITO	NIT_TERCERO	NOMBRE_COMUN	TIPO_PERSONA	DESCRIPCION	USUARIO	CODIGO_PRODUCTO
28/02/23	59050001001	5	59	5905	590500	59050001	59050001001	GANANCIAS Y PÉRDIDAS	28/02/23	6	18	CIERRES	413481,31	0	805012921	PATRIMONIOS AUTONOMOS ACCIÓN FIDUCIARIA	JURIDICA	UTILIDAD O PERDIDAD	SYSTRX	1
08/03/23	25011501001	2	25	2501	250115	25011501	25011501001	COMISION POR ADMINISTRACION	08/03/23	14	62	CAUSACION DE PAGOS	0	6902000	800155413	ACCION SOCIEDAD FIDUCIARIA S.A.	JURIDICA	PAGO COMISION FIDUCIARIA FACT NO FC20-41802 CAPITAL 690200	CNIEVES	1
08/03/23	35101002009	3	35	3510	351010	35101002	35101002009	COMISION FIDUCIARIA	08/03/23	14	62	CAUSACION DE PAGOS	6902000	0	800155413	ACCION SOCIEDAD FIDUCIARIA S.A.	JURIDICA	PAGO COMISION FIDUCIARIA FACT NO FC20-41802 CAPITAL 690200	CNIEVES	1
08/03/23	25011501001	2	25	2501	250115	25011501	25011501001	COMISION POR ADMINISTRACION	08/03/23	27	2	EGRESOS	6902000	0	800155413	ACCION SOCIEDAD FIDUCIARIA S.A.	JURIDICA	PAGO COMISION FIDUCIARIA FACT NO FC20-41802 CAPITAL 690200	CNIEVES	1
08/03/23	13020501001	1	13	1302	130205	13020501	13020501001	FONDO COMUN ORDINARIO 1	08/03/23	27	2	EGRESOS	0	6902000	110100	FA-5931 FIDEICOMISO SAUTARI	JURIDICA	PAGO COMISION FIDUCIARIA FACT NO FC20-41802 CAPITAL 690200	CNIEVES	1
08/03/23	13020501001	1	13	1302	130205	13020501	13020501001	FONDO COMUN ORDINARIO 1	08/03/23	28	2	EGRESOS	0	4500	110100	FA-5931 FIDEICOMISO SAUTARI	JURIDICA	GASTO BANCARIO POR PORCENTAJE FIJO TR-FC20-41802-	CNIEVES	1
08/03/23	51151201001	5	51	5115	511512	51151201	51151201001	SERVICIOS BANCARIOS	08/03/23	28	2	EGRESOS	3781,51	0	110100	FA-5931 FIDEICOMISO SAUTARI	JURIDICA	COSTOS DE OPERACION  -FC20-41802-	CNIEVES	1
08/03/23	35101002009	3	35	3510	351010	35101002	35101002009	COMISION FIDUCIARIA	08/03/23	28	2	EGRESOS	718,49	0	800193848	CARTERA COLECTIVA ACCION FIDUCIARIA	JURIDICA	COMISION DE FIDEICOMISO-FC20-41802-	CNIEVES	1
08/03/23	51400501005	5	51	5140	514005	51400501	51400501005	GRAVAMEN A LOS MOVIMIENTOS FINANCIEROS G	08/03/23	2007	46	EGRESO SIN CHEQUE	27608	0	110100	FA-5931 FIDEICOMISO SAUTARI	JURIDICA	GRAVAMEN FINANCIERO 4*1000	CNIEVES	1
08/03/23	13020501001	1	13	1302	130205	13020501	13020501001	FONDO COMUN ORDINARIO 1	08/03/23	2007	46	EGRESO SIN CHEQUE	0	27608	110100	FA-5931 FIDEICOMISO SAUTARI	JURIDICA	GRAVAMEN PAGO A TERCEROS FC20-41802	CNIEVES	1
31/03/23	39150001001	3	39	3915	391500	39150001	39150001001	GANANCIA DEL EJERCICIO	31/03/23	7	18	CIERRES	0	373345,2	805012921	PATRIMONIOS AUTONOMOS ACCIÓN FIDUCIARIA	JURIDICA	UTILIDAD O PERDIDAD	SYSTRX	1
31/03/23	59050001001	5	59	5905	590500	59050001	59050001001	GANANCIAS Y PÉRDIDAS	31/03/23	7	18	CIERRES	373345,2	0	805012921	PATRIMONIOS AUTONOMOS ACCIÓN FIDUCIARIA	JURIDICA	UTILIDAD O PERDIDAD	SYSTRX	1
31/03/23	41080501001	4	41	4108	410805	41080501	41080501001	POR INCREMENTO EN EL VALOR DE MERCADO	31/03/23	4	1	INGRESOS	0	421527,43	110100	FA-5931 FIDEICOMISO SAUTARI	JURIDICA	RENDIMEINTOS DEL FCO POSITIVOS	CNIEVES	1
31/03/23	13020501001	1	13	1302	130205	13020501	13020501001	FONDO COMUN ORDINARIO 1	31/03/23	4	1	INGRESOS	421527,43	0	110100	FA-5931 FIDEICOMISO SAUTARI	JURIDICA	RENDIMEINTOS DEL FCO POSITIVOS	CNIEVES	1
